,Model_4,K2_OI
634,CONFIRMED,CANDIDATE
635,CONFIRMED,CANDIDATE
636,CONFIRMED,CANDIDATE
637,CONFIRMED,CANDIDATE
638,CONFIRMED,FALSE POSITIVE
639,CONFIRMED,CANDIDATE
640,CONFIRMED,CANDIDATE
641,CONFIRMED,FALSE POSITIVE
642,CONFIRMED,CANDIDATE
643,CONFIRMED,CANDIDATE
644,CONFIRMED,CANDIDATE
645,CONFIRMED,CANDIDATE
646,CONFIRMED,CANDIDATE
647,CONFIRMED,CANDIDATE
648,CONFIRMED,CANDIDATE
649,CONFIRMED,CANDIDATE
650,CONFIRMED,CANDIDATE
651,CONFIRMED,CANDIDATE
652,CONFIRMED,CANDIDATE
653,CONFIRMED,CANDIDATE
654,CONFIRMED,CANDIDATE
655,CONFIRMED,CANDIDATE
657,CONFIRMED,CANDIDATE
658,CONFIRMED,CANDIDATE
659,CONFIRMED,CANDIDATE
660,CONFIRMED,CANDIDATE
661,CONFIRMED,CANDIDATE
662,CONFIRMED,CANDIDATE
663,CONFIRMED,CANDIDATE
664,CONFIRMED,CANDIDATE
665,CONFIRMED,CANDIDATE
666,CONFIRMED,CANDIDATE
667,CONFIRMED,CANDIDATE
668,CONFIRMED,CANDIDATE
669,CONFIRMED,CANDIDATE
670,CONFIRMED,CANDIDATE
671,CONFIRMED,CANDIDATE
672,CONFIRMED,CANDIDATE
673,CONFIRMED,CANDIDATE
674,CONFIRMED,CANDIDATE
675,CONFIRMED,CANDIDATE
676,CONFIRMED,CANDIDATE
677,CONFIRMED,CANDIDATE
678,CONFIRMED,CANDIDATE
679,CONFIRMED,CANDIDATE
680,CONFIRMED,CANDIDATE
681,CONFIRMED,CANDIDATE
682,CONFIRMED,CANDIDATE
683,CONFIRMED,CANDIDATE
684,CONFIRMED,FALSE POSITIVE
685,CONFIRMED,CANDIDATE
686,CONFIRMED,FALSE POSITIVE
687,CONFIRMED,CANDIDATE
688,CONFIRMED,CANDIDATE
689,CONFIRMED,FALSE POSITIVE
690,CONFIRMED,CANDIDATE
691,CONFIRMED,FALSE POSITIVE
692,CONFIRMED,FALSE POSITIVE
693,CONFIRMED,CANDIDATE
694,CONFIRMED,CANDIDATE
695,CONFIRMED,CANDIDATE
696,CONFIRMED,CANDIDATE
697,CONFIRMED,FALSE POSITIVE
698,CONFIRMED,CANDIDATE
699,CONFIRMED,CANDIDATE
700,CONFIRMED,FALSE POSITIVE
701,CONFIRMED,CANDIDATE
702,CONFIRMED,CANDIDATE
703,CONFIRMED,CANDIDATE
704,CONFIRMED,CANDIDATE
705,CONFIRMED,CANDIDATE
706,CONFIRMED,CANDIDATE
707,CONFIRMED,CANDIDATE
708,CONFIRMED,CANDIDATE
709,CONFIRMED,CANDIDATE
710,CONFIRMED,CANDIDATE
711,CONFIRMED,CANDIDATE
712,CONFIRMED,FALSE POSITIVE
713,CONFIRMED,FALSE POSITIVE
714,CONFIRMED,FALSE POSITIVE
715,CONFIRMED,CANDIDATE
716,CONFIRMED,FALSE POSITIVE
717,CONFIRMED,FALSE POSITIVE
718,CONFIRMED,CANDIDATE
719,CONFIRMED,FALSE POSITIVE
720,CONFIRMED,CANDIDATE
721,CONFIRMED,CANDIDATE
722,CONFIRMED,CANDIDATE
723,CONFIRMED,CANDIDATE
724,CONFIRMED,CANDIDATE
725,CONFIRMED,CANDIDATE
726,CONFIRMED,CANDIDATE
727,CONFIRMED,CANDIDATE
728,CONFIRMED,FALSE POSITIVE
729,CONFIRMED,CANDIDATE
730,CONFIRMED,FALSE POSITIVE
731,CONFIRMED,FALSE POSITIVE
732,CONFIRMED,FALSE POSITIVE
733,CONFIRMED,FALSE POSITIVE
734,CONFIRMED,CANDIDATE
735,CONFIRMED,FALSE POSITIVE
736,CONFIRMED,FALSE POSITIVE
737,CONFIRMED,CANDIDATE
738,CONFIRMED,FALSE POSITIVE
739,CONFIRMED,CANDIDATE
740,CONFIRMED,CANDIDATE
741,CONFIRMED,FALSE POSITIVE
742,CONFIRMED,FALSE POSITIVE
743,CONFIRMED,CANDIDATE
744,CONFIRMED,CANDIDATE
745,CONFIRMED,CANDIDATE
746,CONFIRMED,CANDIDATE
747,CONFIRMED,CANDIDATE
748,CONFIRMED,CANDIDATE
749,CONFIRMED,CANDIDATE
750,CONFIRMED,FALSE POSITIVE
751,CONFIRMED,CANDIDATE
752,CONFIRMED,CANDIDATE
753,CONFIRMED,FALSE POSITIVE
754,CONFIRMED,FALSE POSITIVE
755,CONFIRMED,FALSE POSITIVE
756,CONFIRMED,CANDIDATE
757,CONFIRMED,FALSE POSITIVE
758,CONFIRMED,CANDIDATE
759,CONFIRMED,FALSE POSITIVE
760,CONFIRMED,CANDIDATE
761,CONFIRMED,CANDIDATE
762,CONFIRMED,FALSE POSITIVE
763,CONFIRMED,FALSE POSITIVE
764,CONFIRMED,CANDIDATE
765,CONFIRMED,CANDIDATE
766,CONFIRMED,CANDIDATE
767,CONFIRMED,CANDIDATE
768,CONFIRMED,CANDIDATE
769,CONFIRMED,CANDIDATE
770,CONFIRMED,FALSE POSITIVE
771,CONFIRMED,CANDIDATE
772,CONFIRMED,CANDIDATE
773,CONFIRMED,CANDIDATE
774,CONFIRMED,CANDIDATE
775,CONFIRMED,CANDIDATE
776,CONFIRMED,CANDIDATE
777,CONFIRMED,CANDIDATE
778,CONFIRMED,CANDIDATE
779,CONFIRMED,FALSE POSITIVE
780,CONFIRMED,CANDIDATE
781,CONFIRMED,FALSE POSITIVE
782,CONFIRMED,FALSE POSITIVE
783,CONFIRMED,FALSE POSITIVE
784,CONFIRMED,CANDIDATE
785,CONFIRMED,CANDIDATE
786,CONFIRMED,FALSE POSITIVE
787,CONFIRMED,FALSE POSITIVE
788,CONFIRMED,CANDIDATE
789,CONFIRMED,FALSE POSITIVE
790,CONFIRMED,FALSE POSITIVE
791,CONFIRMED,CANDIDATE
792,CONFIRMED,FALSE POSITIVE
793,CONFIRMED,CANDIDATE
794,CONFIRMED,CANDIDATE
795,CONFIRMED,CANDIDATE
796,CONFIRMED,FALSE POSITIVE
797,CONFIRMED,FALSE POSITIVE
798,CONFIRMED,FALSE POSITIVE
799,CONFIRMED,FALSE POSITIVE
