row_id,koi_eccen,koi_teq,koi_impact,koi_incl,koi_insol,koi_count,koi_period,koi_steff,koi_smass,koi_smet,koi_slogg
9159,0,1080,0.805,86.37,322.25,1,11.25882503,6217,0.882,-0.78,4.052
9160,0,470,0.952,89.06,11.52,1,28.16261258,4936,0.734,-0.08,4.54
9161,0,365,0.273,89.87,4.17,1,75.3789569,5420,0.864,-0.2,4.596
9162,0,1310,0.154,89.38,695.41,2,9.0584662,5198,1.552,0.19,3.614
9163,0,1230.591837,0.752229592,74.92673469,2993.630204,1,3.9169155,5846.928571,1.055642857,-0.147755102,4.3095
9164,0,738,0.797,89.02,70.22,1,342.5531572,4857,1.95,-0.4,2.422
9165,0,384,0.3185,89.95,5.13,1,362.747593,6176,1.31,-0.2,3.885
9166,0,3380,0.7718,52.14,30860.16,1,0.536650344,5490,1.396,-0.06,3.681
9167,0,1415,0.176,87.88,945.45,1,0.694611128,4612,0.726,-0.06,4.646
9168,0,1168,0.309,88.33,439.51,1,7.4751841,5616,0.894,-0.34,3.98
9169,0,292,0.329,89.89,1.72,1,328.0485,6268,1.188,0.07,4.429
9170,0,1415,0.449,84.91,944.49,1,1.72128752,5813,0.925,-0.28,4.561
9171,0,2651,0.764,69.96,11702.6,1,0.784294574,6576,1.147,-0.36,4.171
9172,0,733,0.443,89.95,68.36,1,361.51099,9492,2.806,0.07,3.619
9173,0,1578,0.189,87.7,1458.2,1,1.41435861,5470,0.837,-0.06,4.366
9174,0,2513,0.042,89.62,9411.28,1,0.616343903,6045,1.205,0.28,4.264
9175,0,2688,0.497,81.91,12313.82,1,1.04347858,6014,1.281,-0.04,3.843
9176,0,228,0.934,89.46,0.64,1,364.33929,5606,0.841,-0.32,4.557
9177,0,261,0.329,89.98,1.09,1,352.710091,6112,0.981,-0.34,4.513
9178,0,527,0.332,89.85,18.27,1,33.8938177,5818,0.937,-0.22,4.554
9179,0,392,0.768,89.87,5.56,1,224.591055,5786,1.124,0.1,3.992
9180,0,381,0.64,89.72,4.99,1,374.939991,5382,1.363,-0.18,3.645
9181,0,432,0.717,88.62,8.27,1,24.2783801,4450,0.698,0.14,4.583
9182,0,305,0.042,89.99,2.05,1,382.5891,6337,1.019,-0.34,4.261
9183,0,632,0.052,89.78,37.8,1,11.9283194,5010,0.72,-0.2,4.545
9184,0,3730,0.46,84.75,45493.51,1,0.603351522,6240,1.515,-0.04,3.679
9185,0,626,0.935,87.79,36.33,1,31.97280045,6340,1.066,-0.3,4.457
9186,0,921,0.342,89.62,169.89,1,8.39140024,5892,0.781,-0.66,4.389
9187,0,4893,0.558,71.43,135046.96,1,0.532493086,6894,1.774,-0.44,3.476
9188,0,2403,0.664,83.24,7917.14,1,0.812678859,6636,1.251,-0.06,4.349
9189,0,852,0.956,88.75,124.46,1,183.836254,4959,1.934,-0.44,2.569
9190,0,937,0.626,88.18,182.4,1,5.959695593,5717,0.984,0,4.538
9191,0,204,0.713,89.94,0.41,1,392.601892,5307,0.843,-0.2,4.605
9192,0,345,0.646,89.73,3.33,1,452.65206,6664,1.3,-0.28,4.075
9193,0,328,0.029,89.99,2.73,1,234.6631919,6306,1.126,-0.1,4.426
9194,0,258,0.777,89.46,1.04,1,351.204993,5845,0.838,-0.44,4.435
9195,0,608,0.896,89.53,32.37,1,260.446151,4845,1.748,0.06,2.897
9196,0,377,0.127,89.94,4.79,1,87.487573,5774,0.907,-0.3,4.567
9197,0,1337,0.443,87.88,755.16,1,11.9451376,5094,1.517,-0.08,3.38
9198,0,307,0.662,89.78,2.09,1,277.13367,6461,1.025,-0.52,4.474
9199,0,6037,0.088,88.55,314164.85,1,3.381607,3974,1.467,-0.36,1.056
9200,0,2497,1.098,12.91,9210.84,1,0.660655454,6520,1.279,0.07,4.375
9201,0,748,0.017,89.99,74.07,1,145.750554,5096,2.394,0.07,3.007
9202,0,2073,0.054,89.62,4372.75,1,2.17813954,6511,1.261,-0.12,4.003
9203,0,330,0.016,90,2.8,1,384.09781,5884,0.921,-0.48,3.979
9204,0,2275,1.036,45.47,6291.87,1,0.505322676,5941,0.962,-0.22,4.49
9205,0,362,0.093,89.99,4.05,1,333.7163405,6045,0.975,-0.5,3.956
9206,0,257,0.912,89.04,1.03,1,322.50741,5708,0.926,-0.08,4.465
9207,0,279,0.246,89.92,1.44,1,373.8716,5846,0.821,-0.46,4.258
9208,0,827,0.387,89.96,110.64,1,171.046664,4932,2.632,0.07,2.697
9209,0,1816,1.274,22.91,2581.61,1,0.799868354,5568,0.873,-0.12,4.488
9210,0,336,0.391,89.86,3.02,1,345.7671,5845,1.115,0.08,4.024
9211,0,202,0.01,90,0.39,1,350.34114,5188,0.768,-0.38,4.642
9212,0,231,1.394,89.55,0.68,2,363.97165,5648,0.939,-0.1,4.559
9213,0,225,0.629,89.73,0.61,2,395.23753,5648,0.939,-0.1,4.559
9214,0,325,0.444,89.88,2.65,1,385.97241,6732,1.185,-0.36,4.271
9215,0,1364,0.324,89.9,818.91,1,89.667675,4742,2.075,-0.5,2.099
9216,0,922,0.133,89.21,170.39,1,5.0487451,5450,0.939,0.07,4.573
9217,0,232,0.295,89.95,0.69,1,321.02094,5334,0.743,-0.32,4.492
9218,0,351,0.23,89.77,3.6,1,122.11555,5592,0.764,-0.42,4.418
9219,0,2599,0.627,73.19,10804.6,1,1.213742728,6532,1.319,-0.2,3.961
9220,0,267,0.817,89.13,1.2,1,225.48805,5663,0.847,-0.38,4.579
9221,0,281,0.663,89.78,1.48,1,366.74866,6136,1.005,-0.18,4.368
9222,0,433,0.457,73.02,8.36,1,0.93374894,2661,0.094,0,5.283
9223,0,2082,0.747,67.08,4454.22,1,0.734548624,6046,1.111,0.07,4.478
9224,0,241,0.405,89.93,0.79,1,317.99484,5665,0.916,-0.2,4.568
9225,0,151,0.189,89.96,0.12,1,432.96732,4403,0.606,-0.46,4.7
9226,0,269,0.11,89.99,1.24,1,614.39054,6228,1.156,0,4.193
9227,0,315,0.24,89.94,2.32,1,578.88761,6180,1.185,-0.14,3.946
9228,0,568,0.732,89.61,24.55,1,238.561202,6565,1.493,-0.52,3.573
9229,0,1997,0.95,89.71,3757.91,1,218.771117,3297,1.436,0.08,0.236
9230,0,264,0.405,89.83,1.15,1,375.17737,6089,1.125,0.07,4.468
9231,0,408,1.165,85.78,6.52,1,334.87402,6122,1.299,-0.12,3.811
9232,0,270,1.239,87.45,1.26,1,370.2402,6296,1.03,-0.36,4.481
9233,0,8986,0.382,85.09,1540745.8,1,1.6749812,3940,1.498,-0.64,0.76
9234,0,172,0.717,89.76,0.21,1,288.678554,4326,0.56,-0.54,4.667
9235,0,492,0.966,88.17,13.83,1,307.9473572,4878,0.874,-0.184081633,3.08
9236,0,304,0.932,89.53,2.02,1,277.25118,6046,0.91,-0.4,4.357
9237,0,376,1.247,83.16,4.75,1,264.63654,6564,1.235,-0.18,4.198
9238,0,858,0.529,89.86,128.15,1,375.408923,11357,3.472,0.07,3.667
9239,0,1421,0.533,86.47,963.16,1,2.17812769,6014,1.043,-0.08,4.494
9240,0,179,1.236,88.78,0.24,1,67.17662686,3391,0.304,0,4.936
9241,0,1427,0.251,82.72,985.2,1,0.93378068,4938,0.836,0.14,4.601
9242,0,1993,0.259,81.67,3723.37,1,0.93373895,6223,1.063,-0.2,4.459
9243,0,2097,0.29,83.89,4570.22,1,0.93373718,6367,1.131,-0.14,4.419
9244,0,568.9387755,1.133687755,87.78214286,2265.852653,1,0.93420696,5814.928571,1.064214286,-0.147346939,4.298622449
9245,0,216,0.176,89.93,0.52,1,359.33831,5316,0.715,-0.46,4.539
9246,0,221,0.214,89.88,0.56,1,213.201978,4594,0.744,0.26,4.557
9247,0,955,0.558,89.86,196.5,1,77.773042,4763,0.882,-0.36,2.685
