,K2_Data,K2_Model4_Merged
314,CANDIDATE,CONFIRMED
317,CANDIDATE,CONFIRMED
319,CANDIDATE,CONFIRMED
320,CANDIDATE,CONFIRMED
321,CANDIDATE,CONFIRMED
322,CANDIDATE,CONFIRMED
323,CANDIDATE,CONFIRMED
324,CANDIDATE,CONFIRMED
325,CANDIDATE,CONFIRMED
326,CANDIDATE,CONFIRMED
327,CANDIDATE,CONFIRMED
328,CANDIDATE,CONFIRMED
330,CANDIDATE,CONFIRMED
331,CANDIDATE,CONFIRMED
332,CANDIDATE,CONFIRMED
335,CANDIDATE,CONFIRMED
337,CANDIDATE,CONFIRMED
338,CANDIDATE,CONFIRMED
339,CANDIDATE,CONFIRMED
340,CANDIDATE,CONFIRMED
341,CANDIDATE,CONFIRMED
342,CANDIDATE,CONFIRMED
343,CANDIDATE,CONFIRMED
344,CANDIDATE,CONFIRMED
345,CANDIDATE,CONFIRMED
346,CANDIDATE,CONFIRMED
347,CANDIDATE,CONFIRMED
348,CANDIDATE,CONFIRMED
349,CANDIDATE,CONFIRMED
350,CANDIDATE,CONFIRMED
351,CANDIDATE,CONFIRMED
353,CANDIDATE,CONFIRMED
354,CANDIDATE,CONFIRMED
359,CANDIDATE,CONFIRMED
360,CANDIDATE,CONFIRMED
361,CANDIDATE,CONFIRMED
362,CANDIDATE,CONFIRMED
363,CANDIDATE,CONFIRMED
364,CANDIDATE,CONFIRMED
369,CANDIDATE,CONFIRMED
370,CANDIDATE,CONFIRMED
371,CANDIDATE,CONFIRMED
372,CANDIDATE,CONFIRMED
373,CANDIDATE,CONFIRMED
374,CANDIDATE,CONFIRMED
375,CANDIDATE,CONFIRMED
376,CANDIDATE,CONFIRMED
377,CANDIDATE,CONFIRMED
378,CANDIDATE,CONFIRMED
379,CANDIDATE,CONFIRMED
380,CANDIDATE,CONFIRMED
381,CANDIDATE,CONFIRMED
382,CANDIDATE,CONFIRMED
384,CANDIDATE,CONFIRMED
385,CANDIDATE,CONFIRMED
386,CANDIDATE,CONFIRMED
387,CANDIDATE,CONFIRMED
388,CANDIDATE,CONFIRMED
389,CANDIDATE,CONFIRMED
390,CANDIDATE,CONFIRMED
391,CANDIDATE,CONFIRMED
392,CANDIDATE,CONFIRMED
393,CANDIDATE,CONFIRMED
394,CANDIDATE,CONFIRMED
396,CANDIDATE,CONFIRMED
397,CANDIDATE,CONFIRMED
398,CANDIDATE,CONFIRMED
399,CANDIDATE,CONFIRMED
400,CANDIDATE,CONFIRMED
401,CANDIDATE,CONFIRMED
402,CANDIDATE,CONFIRMED
403,CANDIDATE,CONFIRMED
404,CANDIDATE,CONFIRMED
405,CANDIDATE,CONFIRMED
406,CANDIDATE,CONFIRMED
410,CANDIDATE,CONFIRMED
411,CANDIDATE,CONFIRMED
412,CANDIDATE,CONFIRMED
413,CANDIDATE,CONFIRMED
414,CANDIDATE,CONFIRMED
415,CANDIDATE,CONFIRMED
416,CANDIDATE,CONFIRMED
417,CANDIDATE,CONFIRMED
418,CANDIDATE,CONFIRMED
421,CANDIDATE,CONFIRMED
422,CANDIDATE,CONFIRMED
423,CANDIDATE,CONFIRMED
424,CANDIDATE,CONFIRMED
425,CANDIDATE,CONFIRMED
426,CANDIDATE,CONFIRMED
427,CANDIDATE,CONFIRMED
437,CANDIDATE,CONFIRMED
438,CANDIDATE,CONFIRMED
439,CANDIDATE,CONFIRMED
440,CANDIDATE,CONFIRMED
441,CANDIDATE,CONFIRMED
442,CANDIDATE,CONFIRMED
443,CANDIDATE,CONFIRMED
445,CANDIDATE,CONFIRMED
446,CANDIDATE,CONFIRMED
447,CANDIDATE,CONFIRMED
453,CANDIDATE,CONFIRMED
454,CANDIDATE,CONFIRMED
455,CANDIDATE,CONFIRMED
456,CANDIDATE,CONFIRMED
457,CANDIDATE,CONFIRMED
458,CANDIDATE,CONFIRMED
459,CANDIDATE,CONFIRMED
460,CANDIDATE,CONFIRMED
462,CANDIDATE,CONFIRMED
463,CANDIDATE,CONFIRMED
464,CANDIDATE,CONFIRMED
465,CANDIDATE,CONFIRMED
466,CANDIDATE,CONFIRMED
467,CANDIDATE,CONFIRMED
468,CANDIDATE,CONFIRMED
469,CANDIDATE,CONFIRMED
470,CANDIDATE,CONFIRMED
471,CANDIDATE,CONFIRMED
472,CANDIDATE,CONFIRMED
473,CANDIDATE,CONFIRMED
474,CANDIDATE,CONFIRMED
475,CANDIDATE,CONFIRMED
476,CANDIDATE,CONFIRMED
477,CANDIDATE,CONFIRMED
478,CANDIDATE,CONFIRMED
479,CANDIDATE,CONFIRMED
480,CANDIDATE,CONFIRMED
