row_id,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_quarters,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
6754,0.269306122,0,0,0,388.048463,295.8353,2455128.835,0,0.1973,3.456,150,0.011183,77.3737,3,1.1326,89.95,376,4.71,851,0.2782,0.3741,73.13507722,290.5218273,8.3,1,513.6122449,1,8.91E+30,0.505287755,5779,3.765,-0.2,2.46,1.29,284.31519,45.132259,11.084,11.525,11.008,10.895,10.806,9.919,9.576,9.519,0.115,18.954309,45.13201,-1.4,-0.9,0.00016,0.00014,-1.04,-1.84,2.11,-1.5,-1.85,2.38
6755,0.269306122,0,0,0,34.0269868,164.79638,2454997.796,0,0.5682,1.586,362,0.017904,43.35242,1.57,0.188,89.95,455,10.15,138.4,0.1522,0.5692,73.13507722,290.5218273,6.2,1,513.6122449,1,8.91E+30,0.505287755,4999,4.514,0.02,0.801,0.764,293.01563,45.16674,15.592,16.42,15.543,15.237,15.072,14.06,13.531,13.385,0.197,19.534388,45.16635,0.5,-1.4,-0.00017,0.00069,-0.5,-1.2,1.3,-0.3,-1,1
6756,0.269306122,0,0,0,173.219879,201.2993,2455034.299,0,0.5113,1.875,240,0.014561,149.207,2.41,0.6483,89.95,405,6.39,619,0.2861,0.3645,73.13507722,290.5218273,5.7,1,513.6122449,1,8.91E+30,0.505287755,6007,4.158,0.16,1.518,1.215,293.61044,45.160938,13.957,14.463,13.896,13.74,13.676,12.774,12.44,12.393,0.002,19.573974,45.1611,-2.1,0.6,0.00073,-0.00023,1.25,0.1,1.3,1.33,0.07,1.33
6757,0.968,0,0,0,374.878133,491.064,2455324.064,0,0.626,10.556,915,0.028862,1.46428,4.27,1.0525,89.84,282,1.49,221.6,0.2517,0.4369,8.963678,14.203887,21.9,1,3,1,1.11E+31,0.1008,5636,4.218,0.42,1.354,1.103,294.0434,45.139778,14.508,15.135,14.432,14.239,14.136,13.198,12.788,12.721,0.134,19.602908,45.13987,0.54,0.32,-0.00067,-0.00044,0.02,0.26,0.26,0.05,0.36,0.37
6758,0,0,0,1,5.2362026,133.7395,2454966.74,0,1.379,3.148,2020,0.42575,0.07658,75.83,0.0637,73.32,1378,853.62,4.81,0.305,0.3201,18.22832,38.42689,28.2,1,19,1,1.10E+16,-1,6176,4.112,0.04,1.631,1.255,297.94617,45.10014,14.786,15.297,14.75,14.567,14.474,13.609,13.329,13.26,0,19.8637478,45.104839,25.56,16.92,-0.0788,-0.0524,0.075295918,-0.090193878,2.075173469,-0.130112245,-0.216,1.942642857
6759,0.269306122,1,0,0,48.55059299,148.6714009,2454981.671,0,0.69544898,1.79,10231.17449,0.10857801,2.861124388,17.37489796,0.09180102,72.65908163,1580.163265,31090.7949,17.74603716,0.246305102,0.42002551,73.13507722,290.5218273,103.6081633,1,513.6122449,1,8.91E+30,0.505287755,5632.693878,4.29494898,-0.153367347,2.228591837,1.011989796,290.20685,46.313541,15.227,15.738,15.173,15.008,14.928,14.019,13.653,13.548,0.249,19.347172,46.31354,1.8,0,-0.0007,-2.00E-05,1.09,-1.3,1.7,1.1,-1.4,1.8
6760,0.269306122,0,0,0,511.882,533.7435,2455366.743,0,0.5102,4.822,610,0.023257,26.86783,2.56,1.2745,89.95,241,0.79,719,0.2967,0.3319,73.13507722,290.5218273,6.5,1,513.6122449,1,8.91E+30,0.505287755,6141,4.454,-0.12,1.007,1.046,295.69479,46.319328,15.462,15.938,15.407,15.258,15.128,14.301,13.939,13.935,0.392,19.712982,46.3189,-0.2,-1.5,0.0002,0.0011,0.39,0.95,1.03,0.4,0.8,0.89
6761,0.269306122,0,0,1,247.372131,277.35008,2455110.35,0,0.4257,3.271,513,0.022658,47.9393,2.47,0.7729,89.95,290,1.67,537,0.2673,0.3981,73.13507722,290.5218273,12.4,1,513.6122449,1,8.91E+30,0.505287755,5780,4.438,-0.153367347,1,1,296.85858,46.30019,13.359,13.665,13.298,13.228,14.09478571,12.002,11.469,11.442,0.058244898,19.790626,46.30025,1.99,0.23,0.000743102,-0.00016,0.91,0.41,1,1.49,0.52,1.58
6762,0.269306122,0,0,0,96.16705,134.6749,2454967.675,0,0.1194,2.775,271,0.014748,38.84012,1.15,0.3774,89.95,313,2.26,266.8,0.1969,0.5058,73.13507722,290.5218273,7.2,1,513.6122449,1,8.91E+30,0.505287755,5147,4.617,-0.26,0.716,0.779,300.47403,46.332039,13.419,14.064,13.368,13.142,13.04,11.975,11.522,11.409,0.251,20.031588,46.33171,-0.5,-1.2,0.00043,0.00033,-1.26,-1.25,1.78,-0.86,-1.49,1.72
6763,0.269306122,1,0,0,95.254421,181.4574,2455014.457,0,0.3116,3.379,465,0.01989,19.0777,2.2,0.4239,89.95,413,6.89,209.2,0.2903,0.3544,73.13507722,290.5218273,6.1,1,513.6122449,1,8.91E+30,0.505287755,6063,4.476,0.07,1.012,1.117,289.87979,46.400139,15.833,16.323,15.765,15.622,15.532,14.685,14.446,14.229,0.007,19.325309,46.39923,-0.4,-3.3,0.0003,0.0018,0,1.6,1.6,0,1.5,1.5
