,sy_pnum,pl_orbper,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_imppar,st_teff,st_mass,st_met,st_logg
1418,0.0,3.22513,0.08071186440677967,455.4162711864406,1314.0677966101696,84.75559322033898,0.5738474576271186,4948.60220338983,0.8988135593220339,-0.053932203389830506,4.48593220338983
1419,1.0,4.9234,0.0944406779661017,250.54728813559325,1051.5762711864406,87.44545762711864,0.3357457627118644,5110.062033898304,0.9069491525423728,0.02672881355932204,4.365762711864407
1420,0.0,8.032160000000001,0.13503728813559324,94.19322033898304,760.6610169491526,88.1534915254237,0.4516949152542372,5018.650677966102,1.1350847457627118,-0.002491525423728809,4.395423728813559
1421,0.0,17.093491,0.15682542372881356,47.22966101694916,669.1694915254237,88.43162711864406,1.2,5191.866779661017,0.9277966101694916,-0.11538983050847457,4.319830508474577
1422,0.0,17.093319,0.15292711864406777,46.78779661016949,669.8135593220339,88.34250847457628,0.4737457627118644,5175.668644067797,0.9261016949152543,-0.10883050847457626,4.30864406779661
1423,0.0,50.693644,0.08652118644067797,154.53203389830512,864.8135593220339,89.48100000000001,0.4903220338983052,5220.0,0.7374576271186439,-0.1,4.54
1424,0.0,50.693690000000004,0.11259237288135593,27.533389830508476,484.6271186440678,89.2483220338983,0.4509661016949153,5151.081186440679,0.8044067796610168,-0.10994915254237288,4.474406779661017
1425,0.0,0.7988453000000001,0.0642372881355932,522.8061016949152,1396.5254237288136,82.47157627118644,0.5048305084745762,5281.300847457627,0.9669491525423728,-0.14488135593220336,4.254067796610169
1426,0.0,0.4378443,0.06530508474576271,527.6281355932203,1396.5254237288136,82.19608474576272,0.5182881355932203,5217.374745762711,0.9361016949152543,-0.170135593220339,4.360508474576271
1427,0.0,13.26931,0.15426610169491528,49.36322033898305,776.3389830508474,88.68249152542373,0.4376440677966102,5170.6606779661015,0.8950847457627119,-0.05244067796610169,4.400169491525423
1428,0.0,7.1198559999999995,0.10219915254237288,167.95745762711866,850.4067796610169,89.052,0.44593220338983053,5318.0,0.7416949152542376,0.26,4.68
1429,0.0,7.12113,0.10662711864406779,172.79372881355934,809.0,88.2793559322034,0.41605084745762705,5154.773389830509,1.1199999999999999,-0.06772881355932205,4.442372881355932
1430,0.0,8.904672,0.15149152542372882,85.81016949152543,768.2372881355932,88.14142372881358,0.5081525423728814,5246.807288135593,0.9211864406779662,-0.11103389830508473,4.3452542372881355
1431,0.0,8.904519,0.16025254237288133,83.94067796610169,763.6440677966102,88.10677966101694,1.24,5204.959830508475,0.931864406779661,-0.12306779661016946,4.2564406779661015
1432,0.0,2.5048529999999998,0.07576271186440679,454.3484745762712,1295.949152542373,85.65122033898307,0.5355762711864406,5505.495762711865,1.051186440677966,-0.05505084745762714,4.28677966101695
1433,0.0,3.68034,0.08447203389830509,171.04,836.1186440677966,87.885,0.48205084745762716,5121.0,0.7232203389830508,-0.03,4.69
1434,0.0,3.6804699999999997,0.08247457627118646,444.7196610169492,1336.322033898305,85.71952542372881,0.5515593220338982,4968.246610169492,0.8720338983050847,-0.07483050847457628,4.482033898305085
1435,1.0,2.6017,0.08591525423728814,437.83152542372875,1321.4745762711864,86.0394745762712,0.44027966101694926,5274.0406779661025,0.8938983050847458,0.04883050847457626,4.420677966101695
1436,0.0,15.960128,0.15714745762711863,52.45559322033898,684.8135593220339,88.2157118644068,0.7,5297.014576271187,0.9591525423728813,-0.12115254237288137,4.267627118644068
1437,0.0,16.9616,0.15292711864406777,46.78779661016949,671.2542372881356,88.2986779661017,0.4782372881355932,5220.312711864407,0.9435593220338984,-0.08720338983050847,4.336779661016949
1438,0.0,0.7175746999999999,0.06423728813559322,527.6281355932203,1396.5254237288136,82.287,0.5048305084745763,5268.1322033898305,0.9610169491525424,-0.1543559322033898,4.265084745762712
1439,0.0,5.1645,0.09623728813559322,244.75067796610168,1056.7796610169491,86.79435593220337,0.45384745762711864,5160.29186440678,0.9486440677966101,-0.09583050847457625,4.28728813559322
1440,0.0,3.44795,0.07874576271186443,464.433220338983,1352.7966101694915,84.83657627118646,0.5939830508474576,4956.886610169491,0.8915254237288137,-0.07245762711864408,4.474237288135593
1441,0.0,4.620381015254237,0.09335084745762712,278.69288135593223,892.1186440677966,85.16330508474577,0.46640677966101696,5421.473050847459,0.918813559322034,-0.097,4.325254237288136
1442,0.0,0.5551606,0.0642372881355932,527.6281355932203,1396.5254237288136,82.01572881355933,0.5048305084745762,5166.876101694915,0.966271186440678,-0.1768813559322034,4.355762711864407
1443,0.0,6.26242,0.09054237288135593,197.73101694915255,917.3728813559322,88.02272881355931,0.4037118644067797,5221.528644067796,0.8894915254237289,-0.06566101694915255,4.376779661016949
1444,0.0,24.4131,0.12977881355932205,31.54796610169491,617.8644067796611,88.79316949152542,0.42415254237288136,5396.624067796611,0.9061016949152543,-0.13752542372881355,4.321525423728813
1445,0.0,4.027480000000001,0.08388135593220339,397.78915254237285,1272.322033898305,86.12881355932204,0.5356610169491526,5075.736440677965,0.8984745762711864,-0.056,4.450169491525424
1446,0.0,10.55369,0.1530457627118644,64.98813559322035,791.3728813559322,88.27105084745763,0.4644576271186441,5014.431355932204,0.8633898305084747,-0.08489830508474579,4.366101694915254
1447,0.0,41.55209,0.11445677966101696,27.533389830508476,505.1186440677966,89.21993220338985,0.42283050847457626,5097.315593220339,0.8793220338983051,-0.09527118644067797,4.454576271186441
1448,0.0,41.552934,0.09149406779661017,157.275593220339,797.3728813559322,89.54899999999999,0.5357457627118644,4895.0,0.7405084745762711,-0.15,4.52
1449,0.0,23.607902,0.09235677966101696,458.8452542372882,1143.7288135593221,89.007,0.5496271186440679,6057.0,0.8816949152542373,0.1,4.38
1450,0.0,23.6088,0.13108254237288136,31.722203389830515,618.8135593220339,88.74845762711864,0.43825423728813556,5368.039661016948,0.9476271186440679,-0.10545762711864407,4.329152542372881
1451,0.0,23.610939000000002,0.1488915254237288,32.23966101694916,614.6271186440678,88.74830508474575,0.46,5421.252033898305,0.9401694915254236,-0.1189491525423729,4.374915254237288
1452,0.0,21.98131,0.11610254237288137,114.55644067796612,785.9322033898305,88.12483050847459,0.792,4491.0,1.08,-0.794,1.77
1453,0.0,9.64954,0.1484864406779661,69.38305084745764,806.0508474576271,88.1567627118644,0.4878474576271186,5311.611355932203,0.9135593220338983,-0.07716949152542371,4.382542372881356
1454,0.0,6.5534,0.08961016949152542,183.21406779661015,885.6779661016949,88.14438983050849,0.4058644067796611,5340.105423728813,1.125084745762712,-0.03794915254237288,4.400847457627118
1455,0.0,0.6719977,0.06423728813559322,527.6281355932203,1396.5254237288136,82.32666101694916,0.5048305084745762,5202.391016949153,0.9569491525423729,-0.16430508474576275,4.290169491525424
1456,0.0,4.4358,0.09042372881355933,356.24728813559324,1198.8813559322034,86.72905084745764,0.44916949152542374,5111.036271186441,0.9723728813559321,-0.07852542372881355,4.370338983050847
1457,0.0,4.4357169999999995,0.10752118644067796,262.0042372881356,875.9661016949152,89.21799999999999,0.4538983050847457,5374.0,0.8599999999999998,0.09,4.59
1458,0.0,3.3134699999999997,0.07954237288135592,455.4162711864406,1314.0677966101696,84.88054237288135,0.5648813559322036,5030.08966101695,0.8847457627118643,-0.050237288135593215,4.453050847457626
1459,0.0,1.72767,0.07664406779661016,543.8569491525424,1330.135593220339,84.53662711864406,1.17,5198.205423728814,0.926949152542373,-0.10801694915254238,4.360677966101695
1460,0.0,4.69942,0.08564406779661018,330.2557627118644,1151.5254237288136,86.83403389830507,0.4476610169491526,5211.7852542372875,0.975084745762712,-0.08127118644067796,4.330847457627119
1461,0.0,12.7256,0.1474864406779661,49.86305084745763,765.1186440677966,88.73045762711862,0.43642372881355934,5134.773389830509,0.894406779661017,-0.005813559322033906,4.394915254237288
1462,0.0,45.4939,0.11259237288135593,27.533389830508472,493.08474576271186,89.22657627118645,0.4431694915254237,5170.504915254238,0.8000000000000002,-0.09355932203389832,4.465084745762712
1463,0.0,12.09259,0.1459610169491526,52.26220338983051,764.0,88.6829152542373,0.4604237288135593,5173.911694915255,0.9272881355932203,-0.03510169491525424,4.280847457627119
1464,0.0,12.092216,0.1529779661016949,49.878644067796614,773.0847457627119,88.68757627118644,0.28,5185.049491525425,0.9140677966101695,-0.028271186440677977,4.272372881355931
1465,0.0,12.092199,0.11147033898305085,187.0269491525424,823.542372881356,87.70200000000001,0.5660847457627117,5333.0,0.7372881355932204,0.05,4.2
1466,0.0,10.7946,0.0791550847457627,164.55694915254236,763.1864406779661,88.01893220338982,0.51,5045.0,0.7276271186440679,-0.06083050847457628,4.5383050847457636
1467,0.0,10.7946,0.15233389830508473,64.75762711864407,790.6949152542373,88.28322033898307,0.45010169491525426,5036.770677966101,0.886779661016949,-0.04454237288135595,4.369491525423728
1468,0.0,4.06643,0.08388135593220339,397.7891525423729,1263.949152542373,86.15237288135593,0.5404237288135593,5045.211016949152,0.9023728813559321,-0.07088135593220339,4.4289830508474575
1469,0.0,57.8396,0.11259237288135593,27.533389830508476,484.6271186440678,89.2483220338983,0.45962711864406774,5093.421694915254,0.791864406779661,-0.11469491525423728,4.4869491525423735
1470,0.0,4.49161,0.08794915254237289,356.2472881355933,1198.8813559322034,86.75098305084745,0.46174576271186446,5139.443050847458,0.9866101694915254,-0.07181355932203388,4.361694915254237
1471,0.0,19.496648999999998,0.07837033898305085,423.49949152542376,902.8305084745763,88.87,0.5525254237288136,5758.0,0.8574576271186442,-0.05,4.22
1472,0.0,19.4989,0.15245084745762713,33.40796610169492,661.4067796610169,88.43183050847456,0.47756101694915243,5246.128644067796,0.927627118644068,-0.0779491525423729,4.415593220338983
1473,0.0,3.78177,0.08247457627118643,442.6925423728813,1334.3389830508474,85.82601694915255,0.5397627118644068,4901.685084745763,0.8722033898305084,-0.08871186440677967,4.467627118644068
