rowid,pl_name,hostname,pl_letter,k2_name,epic_hostname,epic_candname,hd_name,hip_name,tic_id,gaia_id,default_flag,disposition,disp_refname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_tsystemref,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_icmag,sy_tmag,sy_kepmag,rowupdate,pl_pubdate,releasedate,pl_nnotes,k2_campaigns,k2_campaigns_num,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec
1690,EPIC 251292508.01,EPIC 251292508,,,EPIC 251292508,EPIC 251292508.01,,,TIC 55361028,Gaia DR2 630836794912890624,1,FALSE POSITIVE,Yu et al. 2018,1,0,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,1.288312,,,,,,,,,,,,,,,,,,2458096.63,BJD,0,,24.1729,1.9896,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3412,0.58,0.57,,,-1.392,4.67,,4.1888,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h22m03.58s,140.514907,+15d48m28.18s,15.8078269,40.3426,214.85576,0.37594,137.95487,94.8775612,42.16,-84.9958,268.067,3.70534,18.726,17.23,13.147,12.582,12.337,20.3401,17.8734,16.4756,15.2087,14.5136,12.231,12.039,11.587,8.827,15.9032,,14.6723,15.238,2/26/2019,2018-07,2/26/2019,0,16,1,0,0,0,0,0
1691,EPIC 251292838.01,EPIC 251292838,,,EPIC 251292838,EPIC 251292838.01,,,TIC 55316277,Gaia DR2 630850328354376320,1,CANDIDATE,Yu et al. 2018,1,0,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,19.581519,,,,,,,,,,,,,,,,,,2458107.286,BJD,0,,8.5946,2.7168,,,,,,,,,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,,5638,0.86,,,,,4.53,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h21m20.31s,140.3346059,+15d50m55.61s,15.8487794,40.19782,214.71952,0.36174,137.7772,20.324703,-15.3396,-13.3338,237.405,4.18457,13.095,12.374,10.981,10.65,10.554,15.2222,13.2113,12.3017,12.0928,13.3591,10.533,10.572,10.605,8.715,12.1938,,11.6958,12.157,2/26/2019,2018-07,2/26/2019,0,16,1,0,0,0,0,0
1692,EPIC 251294036.01,EPIC 251294036,,,EPIC 251294036,EPIC 251294036.01,,,TIC 55266835,Gaia DR2 631643183613250944,1,CANDIDATE,Yu et al. 2018,1,0,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,6.854931,,,,,,,,,,,,,,,,,,2458101.732,BJD,0,,1.1053,1.2624,,,,,,,,,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,,5360,1.03,,,,,4.34,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h17m17.87s,139.3244438,+15d58m47.35s,15.9798204,39.34883,214.08198,0.19131,136.81188,4.6011548,-4.21398,-1.84743,414.845,2.38194,14.95,13.892,12.09,11.599,11.459,16.6266,14.5453,13.7177,13.6902,13.1904,11.408,11.461,11.285,8.659,13.6646,,13.0207,13.636,2/26/2019,2018-07,2/26/2019,0,16,1,0,0,0,0,0
1693,EPIC 251304634.01,EPIC 251304634,,,EPIC 251304634,,,,TIC 55267074,Gaia DR2 632054671545562752,1,CANDIDATE,Zink et al. 2021,1,0,0,0,Transit,2021,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210902675Z/abstract target=ref>Zink et al. 2021</a>,2021-09,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210902675Z/abstract target=ref>Zink et al. 2021</a>,4.392503,,1.11,0.099,,,,,,,,,,,,,,,2458097.367,BJD,0,0.551,,1.8,15.99,0.0152,,,,,,,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210902675Z/abstract target=ref>Zink et al. 2021</a>,K5,4707,0.67,0.7,-0.319,[Fe/H],,4.63,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h17m12.13s,139.3005504,+17d05m04.66s,17.0846276,39.73826,212.74089,1.23774,136.45674,37.6149782,-18.9353,-32.5014,148.641,6.69947,13.715,12.9,11.023,10.382,10.296,16.0633,15.4249,12.9918,15.6005,12.7783,,,,,12.6181,,11.9515,12.25,11/19/2021,2021-09,11/19/2021,0,16,1,0,0,0,0,0
1694,EPIC 251307609.01,EPIC 251307609,,,EPIC 251307609,EPIC 251307609.01,,,TIC 55377064,Gaia DR2 632232728003549440,1,FALSE POSITIVE,Yu et al. 2018,1,0,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.598197,,,,,,,,,,,,,,,,,,2458095.868,BJD,0,,37.9663,1.9608,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5132,1.25,0.87,,,-0.011,4.18,,0.6286,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h23m26.86s,140.8619176,+17d23m22.74s,17.3896491,41.23854,213.07867,1.98332,137.78427,11.1107313,-3.90071,-10.4035,1100.91,0.876997,16.364,15.499,13.76,13.238,13.118,18.0116,16.1915,15.4727,15.2087,15.0782,13.035,13.062,11.919,9.027,15.084,,14.5206,15.183,2/26/2019,2018-07,2/26/2019,0,16,1,0,0,0,0,0
1695,EPIC 251308775.01,EPIC 251308775,,,EPIC 251308775,EPIC 251308775.01,,,TIC 55285974,Gaia DR2 631909879606417408,1,FALSE POSITIVE,Yu et al. 2018,1,0,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2.804246,,,,,,,,,,,,,,,,,,2458096.728,BJD,0,,6.91,3.924,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5938.45,2.43,1.08,-0.408,[M/H],0.819,3.7,,0.1067,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h19m55.60s,139.9816627,+17d30m35.66s,17.5099047,40.49843,212.53043,1.84018,136.94766,18.3737862,-17.0377,6.87843,723.966,1.35241,12.683,12.161,11.014,10.756,10.673,14.5283,14.3795,12.049,11.9047,13.7834,10.587,10.623,10.59,8.704001,11.9946,,11.5821,11.989,2/26/2019,2018-07,2/26/2019,0,16,1,0,0,0,0,0
1696,EPIC 251314585.01,EPIC 251314585,,,EPIC 251314585,EPIC 251314585.01,,,TIC 86117499,Gaia DR2 632514615297386368,1,FALSE POSITIVE,Yu et al. 2018,1,0,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.691617,,,,,,,,,,,,,,,,,,2458096.023,BJD,0,,9.8244,1.9608,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5285,1.75,0.91,,,0.333,3.91,,0.2396,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h20m57.44s,140.2393372,+18d02m52.11s,18.0478072,40.91913,211.98243,2.42732,137.01706,3.4211421,0.980186,-3.27772,1319.97,0.724006,15.445,14.942,13.125,12.712,12.632,16.7014,15.16,14.568,15.3477,14.273,12.606,12.604,12.365,8.851,14.574,,14.0439,14.44,2/26/2019,2018-07,2/26/2019,0,16,1,0,0,0,0,0
1697,EPIC 251315031.01,EPIC 251315031,,,EPIC 251315031,EPIC 251315031.01,,,TIC 86071285,Gaia DR2 632506987435488896,1,FALSE POSITIVE,Yu et al. 2018,1,0,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.540527,,,,,,,,,,,,,,,,,,2458095.974,BJD,0,,33.3734,1.8912,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5187.17,1.04,0.88,-0.154,[M/H],-0.155,4.35,,1.1159,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h19m14.90s,139.8120865,+18d05m18.83s,18.088564,40.5533,211.74337,2.34221,136.61747,12.4408873,-10.8247,-6.13201,480.202,2.05374,14.529,13.957,12.464,12.031,11.887,15.6222,14.2613,13.5484,13.4372,13.2402,11.673,11.704,11.209,8.648,13.6004,,13.0561,13.537,2/26/2019,2018-07,2/26/2019,0,16,1,0,0,0,0,0
1698,EPIC 251327548.01,EPIC 251327548,,,EPIC 251327548,EPIC 251327548.01,,,TIC 86039410,Gaia DR2 635688488754219136,1,FALSE POSITIVE,Yu et al. 2018,1,0,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,11.349445,,,,,,,,,,,,,,,,,,2458101.624,BJD,0,,5.9759,5.8632,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6002,1.7,1.11,,,0.527,4.02,,0.3209,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h17m37.13s,139.4047224,+19d09m36.25s,19.1600695,40.56055,210.24433,3.24614,135.92378,24.6103721,-2.13143,-24.5179,440.558,2.24197,12.982,11.807,10.628,10.344,10.24,14.9818,12.4673,14.6838,11.6023,13.5355,10.213,10.238,10.252,8.938,11.6485,,11.2342,11.636,2/26/2019,2018-07,2/26/2019,0,16,1,0,0,0,0,0
1699,EPIC 251330444.01,EPIC 251330444,,,EPIC 251330444,EPIC 251330444.01,,,TIC 86036265,Gaia DR2 635898431051113216,1,FALSE POSITIVE,Yu et al. 2018,1,0,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,5.998652,,,,,,,,,,,,,,,,,,2458098.283,BJD,0,,8.319,10.8,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4930,2.67,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h16m26.40s,139.1099983,+19d25m24.94s,19.423595,40.38724,209.79508,3.4134,135.57845,10.0019883,7.20568,-6.93671,355.433,2.78577,12.238,11.366,9.698,9.229,9.084,15.3892,12.3326,11.276,10.9992,11.1152,9.024,9.067,8.949,8.432,11.2,,10.5968,11.202,2/26/2019,2018-07,2/26/2019,0,16,1,0,0,0,0,0
1700,EPIC 251345848.01,EPIC 251345848,,,EPIC 251345848,EPIC 251345848.01,,,TIC 86119727,Gaia DR2 637589853596386560,1,FALSE POSITIVE,Yu et al. 2018,1,0,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2.883162,,,,,,,,,,,,,,,,,,2458096.263,BJD,0,,3.7899,3.132,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6100.45,1.21,1.15,-0.082,[M/H],0.264,4.33,,0.9075,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h21m37.30s,140.4054055,+20d43m37.23s,20.727007,41.96167,208.68317,5.02535,136.34262,19.4582422,-16.7752,-9.85981,485.65,2.03083,13.363,12.633,11.545,11.324,11.235,15.1538,12.997,12.5843,12.4855,13.4241,11.196,11.218,11.263,8.846,12.4955,,12.1071,12.505,2/26/2019,2018-07,2/26/2019,0,16,1,0,0,0,0,0
1701,EPIC 251345849.01,EPIC 251345849,,,EPIC 251345849,EPIC 251345849.01,,,TIC 86119726,Gaia DR2 637586902954255488,1,FALSE POSITIVE,Yu et al. 2018,1,0,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.545251,,,,,,,,,,,,,,,,,,2458095.966,BJD,0,,13.922,1.9608,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6074.26,1.24,1.14,-0.556,[M/H],0.273,4.31,,0.8505,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h21m50.17s,140.4590282,+20d43m37.39s,20.727052,42.00928,208.70439,5.04083,136.39051,4.3224642,-4.21988,-0.936114,2369.79,0.340771,16.151,15.963,15.011,14.596,14.717,17.6177,16.4931,16.1495,16.035,15.9973,14.663,14.695,12.506,8.72,15.9273,,15.5541,16.059,2/26/2019,2018-07,2/26/2019,0,16,1,0,0,0,0,0
1702,EPIC 251347050.01,EPIC 251347050,,,EPIC 251347050,EPIC 251347050.01,,,TIC 414968850,Gaia DR2 637487500231057408,1,FALSE POSITIVE,Yu et al. 2018,1,0,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.493967,,,,,,,,,,,,,,,,,,2458095.555,BJD,0,,1.7723,2.148,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,7437,1.94,1.7,,,1.016,4.09,,0.3278,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h24m37.65s,141.1568825,+20d49m44.81s,20.8291125,42.66078,208.85053,5.33985,136.98175,7.4387111,-6.66808,3.29714,1011.15,0.957557,12.585,12.434,11.712,11.56,11.542,14.9107,12.4558,12.3938,12.4298,13.3388,11.479,11.484,11.481,8.746,12.2809,,12.0666,12.29,2/26/2019,2018-07,2/26/2019,0,16,1,0,0,0,0,0
1703,EPIC 251353301.01,EPIC 251353301,,,EPIC 251353301,EPIC 251353301.01,,,TIC 86070316,Gaia DR2 638434042303687040,1,FALSE POSITIVE,Yu et al. 2018,1,0,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.504475,,,,,,,,,,,,,,,,,,2458095.676,BJD,0,,8.7373,1.8528,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6963,1.35,1.53,,,0.587,4.36,,0.8755,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h18m37.57s,139.6565309,+21d21m21.01s,21.3558369,41.49344,207.59074,5.41003,135.48117,10.6544824,2.61417,-10.3288,1706.89,0.54635,15.201,14.477,13.759,13.582,13.601,15.6064,14.531,14.3779,14.3417,14.3853,13.518,13.497,11.97,8.551,14.4359,,14.1656,14.556,2/26/2019,2018-07,2/26/2019,0,16,1,0,0,0,0,0
1704,EPIC 251356484.01,EPIC 251356484,,,EPIC 251356484,EPIC 251356484.01,,,TIC 414963560,Gaia DR2 637794435773854208,1,FALSE POSITIVE,Yu et al. 2018,1,0,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.781949,,,,,,,,,,,,,,,,,,2458095.81,BJD,0,,18.6838,2.6016,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5480.9,1.59,0.96,-0.106,[M/H],0.311,4.02,,0.3395,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h22m48.57s,140.7023884,+21d36m53.34s,21.6148163,42.49924,207.65824,5.95529,136.33202,8.1386196,-5.39509,-6.09345,1230.58,0.780251,15.366,14.72,13.246,12.83,12.712,16.8229,15.2882,14.699,14.4726,14.386,12.684,12.707,11.706,8.987001,14.5094,,14.0081,14.484,2/26/2019,2018-07,2/26/2019,0,16,1,0,0,0,0,0
1705,EPIC 251356953.01,EPIC 251356953,,,EPIC 251356953,EPIC 251356953.01,,,TIC 86070236,Gaia DR2 638455173542715392,1,FALSE POSITIVE,Yu et al. 2018,1,0,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,5.21459,,,,,,,,,,,,,,,,,,2458099.481,BJD,0,,55.5674,4.0944,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5457.16,1,0.95,-0.445,[M/H],-0.101,4.42,,1.3547,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h18m17.32s,139.5721481,+21d39m13.60s,21.6537781,41.5098,207.17992,5.66993,135.31491,5.8464719,5.84615,-0.0613509,764.784,1.27845,15.584,14.813,13.186,12.697,12.644,16.3296,14.9818,14.4329,14.2019,14.098,12.6,12.595,12.304,8.847,14.4674,,13.9492,14.568,2/26/2019,2018-07,2/26/2019,0,16,1,0,0,0,0,0
1706,EPIC 251380988.01,EPIC 251380988,,,EPIC 251380988,EPIC 251380988.01,,,TIC 386908880,Gaia DR2 687194870439222656,1,CANDIDATE,Yu et al. 2018,1,0,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,30.921004,,,,,,,,,,,,,,,,,,2458107.207,BJD,0,,16.9142,5.484,,,,,,,,,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,,6680,1.76,,,,,4.1,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h09m08.36s,137.2848381,+23d31m12.11s,23.5200298,40.03891,204.00512,6.81842,132.72595,7.069485,-6.30424,-3.19909,650.843,1.50813,13.275,12.596,11.396,11.166,11.035,14.7048,12.9494,12.5216,12.3938,13.0648,11.001,11.049,10.965,8.656,12.4043,,11.9892,12.434,2/26/2019,2018-07,2/26/2019,0,16,1,0,0,0,0,0
1707,EPIC 251383916.01,EPIC 251383916,,,EPIC 251383916,EPIC 251383916.01,,,TIC 203289678,Gaia DR2 687949998705455104,1,FALSE POSITIVE,Yu et al. 2018,1,0,0,0,Transit,2018,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,2018-07,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,1.332797,,,,,,,,,,,,,,,,,,2458096.215,BJD,0,,64.5357,3.924,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6519,1.06,1.34,,,0.264,4.51,,1.5778,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h05m04.21s,136.2675399,+23d44m07.03s,23.7352853,39.20639,203.39355,6.75225,131.76497,5.5338696,-2.86533,-4.7343,2522.29,0.277736,16.744,16.274,15.36,14.954,14.98,17.4432,16.357,16.1464,16.0641,16.0423,14.838,14.856,12.228,8.47,16.0954,,15.7578,16.22,2/26/2019,2018-07,2/26/2019,0,16,1,0,0,0,0,0
